,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Mercedes-Benz GLA 220 4MATIC,23900,Mercedes-Benz,GLA,2017,105 000 km,Benzina,184 CP,1 991 cm3,4x4 (automat),,Automata,SUV,Germania,,Da
1,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
2,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
3,Hyundai Staria 2.2 CRDi Signature,46000,Hyundai,Staria,2022,80 000 km,Diesel,177 CP,2 199 cm3,Fata,,Automata,Combi,,,
4,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
5,Renault Megane 1.6 16V Dynamique,6950,Renault,Megane,2012,68 921 km,Benzina,110 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,Da,
6,Peugeot 207,3699,Peugeot,207,2011,266 087 km,Diesel,92 CP,1 560 cm3,Fata,Euro 5,Manuala,Combi,,,
7,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
8,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
9,Volkswagen Passat,24700,Volkswagen,Passat,2018,118 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,Germania,,
10,Citroën SpaceTourer,13700,Citroën,SpaceTourer,2017,228 000 km,Diesel,95 CP,1 560 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,Da,
11,BMW X5 xDrive30d,24990,BMW,X5,2014,267 359 km,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
12,Mercedes-Benz C 220 d 4Matic 9G-TRONIC AMG Line,34999,Mercedes-Benz,C,2018,87 000 km,Diesel,194 CP,1 950 cm3,4x4 (automat),,Automata,Combi,,,
13,Suzuki Swift 1.3 GLX,2480,Suzuki,Swift,2006,190 000 km,Benzina,92 CP,1 328 cm3,,,Manuala,Masina de oras,,,
14,Mercedes-Benz C 250 CDI BlueEFFICIENCY T-modell 4M EU5,7300,Mercedes-Benz,C,2010,257 000 km,Diesel,204 CP,2 143 cm3,4x4 (automat),,Automata,Compacta,,,
15,Mercedes-Benz C 200 d T 9G-TRONIC AMG Line Advanced,42990,Mercedes-Benz,C,2022,49 000 km,Diesel,163 CP,1 993 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
16,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
17,Hyundai Staria 2.2 CRDi Signature,46000,Hyundai,Staria,2022,80 000 km,Diesel,177 CP,2 199 cm3,Fata,,Automata,Combi,,,
18,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
19,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
20,BMW Seria 2 225e xDrive Active Tourer Aut.,50575,BMW,Seria 2,2023,7 000 km,Hibrid,136 CP,1 499 cm3,4x4 (manual),Euro 6,Automata,Compacta,Germania,Da,Da
21,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
22,BMW X5 xDrive30d,24990,BMW,X5,2014,267 359 km,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
23,Dacia Sandero 1.4 MPI Preference,3650,Dacia,Sandero,2009,95 000 km,Benzina,75 CP,1 390 cm3,Fata,,Manuala,Masina de oras,,,
24,Seat Ibiza ST 1.2 12V Style,4300,Seat,Ibiza,2011,172 000 km,Benzina,70 CP,1 198 cm3,,,Manuala,Masina de oras,,,
25,BMW X3 xDrive30d Aut. M Sport,41638,BMW,X3,2018,109 444 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
26,Volkswagen Touran,4500,Volkswagen,Touran,2008,278 000 km,Diesel,140 CP,1 968 cm3,,,Manuala,Monovolum,,,
27,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,105000,Mercedes-Benz,S,2021,65 432 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
28,Altul Altul,6498,Altul,Altul,2023,,Electric,3 CP,,Spate,,Automata,Masina de oras,China,,Da
29,Ford Focus 1.5 EcoBlue Titanium,17489,Ford,Focus,2020,12 522 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
30,Mercedes-Benz C 250 CDI BlueEFFICIENCY T-modell 4M EU5,7300,Mercedes-Benz,C,2010,257 000 km,Diesel,204 CP,2 143 cm3,4x4 (automat),,Automata,Compacta,,,
31,Hyundai Staria 2.2 CRDi Signature,46000,Hyundai,Staria,2022,80 000 km,Diesel,177 CP,2 199 cm3,Fata,,Automata,Combi,,,
32,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
33,Renault Megane 1.6 16V Dynamique,6950,Renault,Megane,2012,68 921 km,Benzina,110 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,Da,
34,Peugeot 207,3699,Peugeot,207,2011,266 087 km,Diesel,92 CP,1 560 cm3,Fata,Euro 5,Manuala,Combi,,,
35,BMW Seria 2 225e xDrive Active Tourer Aut.,50575,BMW,Seria 2,2023,7 000 km,Hibrid,136 CP,1 499 cm3,4x4 (manual),Euro 6,Automata,Compacta,Germania,Da,Da
36,Mercedes-Benz GLE 400 d 4MATIC,90899,Mercedes-Benz,GLE,2022,39 569 km,Diesel,330 CP,2 925 cm3,4x4 (automat),,Automata,SUV,,,
37,BMW X5 xDrive30d,24990,BMW,X5,2014,267 359 km,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
38,Mercedes-Benz C 220 d 4Matic 9G-TRONIC AMG Line,34999,Mercedes-Benz,C,2018,87 000 km,Diesel,194 CP,1 950 cm3,4x4 (automat),,Automata,Combi,,,
39,Kia Ceed Cee'd 1.6 GDI Best,8990,Kia,Ceed,2013,184 000 km,Benzina,135 CP,1 591 cm3,Fata,Euro 5,Manuala,Compacta,,,
40,BMW X3 xDrive30d Aut. M Sport,41638,BMW,X3,2018,109 444 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
41,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,105000,Mercedes-Benz,S,2021,65 432 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
42,Suzuki Swift 1.3 GLX,2480,Suzuki,Swift,2006,190 000 km,Benzina,92 CP,1 328 cm3,,,Manuala,Masina de oras,,,
43,Ford Focus 1.5 EcoBlue Titanium,17489,Ford,Focus,2020,12 522 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
44,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
45,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
46,Audi A4 Avant 2.0 TDI S tronic,19040,Audi,A4,2019,164 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Danemarca,Da,Da
47,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
48,Ford C-Max,2799,Ford,C-Max,2006,264 327 km,Benzina,100 CP,1 596 cm3,Fata,Euro 4,Manuala,Monovolum,,,
49,Peugeot 207,3699,Peugeot,207,2011,266 087 km,Diesel,92 CP,1 560 cm3,Fata,Euro 5,Manuala,Combi,,,
50,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
