,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Ford Raptor,43494,Ford,Raptor,2019,55 900 km,Diesel,213 CP,1 997 cm3,,,Automata,SUV,,,
1,Mercedes-Benz A 200 d Aut.,27250,Mercedes-Benz,A,2020,31 000 km,Diesel,150 CP,1 950 cm3,Fata,Euro 6,Automata,Sedan,Germania,,Da
2,Mercedes-Benz G,150000,Mercedes-Benz,G,2017,7 000 km,Benzina,422 CP,3 982 cm3,,,Automata,SUV,Germania,Da,Da
3,Mercedes-Benz S,149899,Mercedes-Benz,S,2022,15 000 km,Hibrid,510 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,Da,Da
4,Renault Laguna Grandtour dCi 110 FAP Limited,8290,Renault,Laguna,2015,121 500 km,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,Franta,,Da
5,Suzuki Vitara 1.6 4X4 Passion,9700,Suzuki,Vitara,2017,228 000 km,Benzina,120 CP,1 586 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
6,Land Rover Range Rover Evoque,17650,Land Rover,Range Rover Evoque,2015,65 000 km,Diesel,150 CP,1 999 cm3,,Euro 5,Automata,SUV,,,
7,BMW X3 sDrive18d AT MHEV,31500,BMW,X3,2021,51 000 km,Diesel,150 CP,1 995 cm3,Spate,Euro 6,Automata,SUV,Belgia,,Da
8,Volvo V40 Cross Country D2 Ocean Race,10990,Volvo,V40,2014,115 000 km,Diesel,115 CP,1 560 cm3,,,Manuala,Compacta,,,
9,Renault Koleos 2.0 dCi FAP 4x2 Expression,7190,Renault,Koleos,2012,225 000 km,Diesel,150 CP,1 995 cm3,,,Manuala,SUV,,,
10,Audi A4 2.0 TDI DPF Attraction,8900,Audi,A4,2011,198 200 km,Diesel,143 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,Olanda,,Da
11,Audi Q5 2.0 TDI Quattro S-Tronic,11500,Audi,Q5,2011,245 000 km,Diesel,170 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,,
12,Renault Koleos ENERGY dCi 175 X-tronic 4WD INITIALE PARIS,21000,Renault,Koleos,2018,148 000 km,Diesel,177 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
13,Volkswagen ARTEON 2.0 TDI DSG 4Motion R-Line,27270,Volkswagen,ARTEON,2019,152 000 km,Diesel,190 CP,1 968 cm3,,,Automata,Sedan,,,
14,Peugeot 308,9988,Peugeot,308,2018,163 400 km,Diesel,99 CP,1 560 cm3,Fata,Euro 6,Manuala,Combi,Italia,,Da
15,Land Rover Range Rover Evoque,15300,Land Rover,Range Rover Evoque,2017,235 000 km,Diesel,150 CP,1 999 cm3,,,Automata,SUV,,,
16,Ford Ranger Pick-Up 4x4 Cabina Dubla WILDTRACK Aut.,17300,Ford,Ranger,2013,253 000 km,Diesel,200 CP,3 198 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
17,Renault Megane Blue dCi Intens,15300,Renault,Megane,2019,82 000 km,Diesel,116 CP,1 461 cm3,Fata,Euro 6,Manuala,Compacta,,Da,Da
18,Ford C-Max 1.6 TDCi DPF Titanium,5590,Ford,C-Max,2012,249 000 km,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Monovolum,Olanda,Da,Da
19,Audi Q8 3.0 50 TDI quattro Tiptronic,78899,Audi,Q8,2021,44 613 km,Diesel,285 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
20,Opel Astra 1.7 CDTI Enjoy,4490,Opel,Astra,2007,41 260 km,Diesel,100 CP,1 686 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
21,Bentley Continental GTC W12,59900,Bentley,Continental,2012,90 000 km,Benzina,575 CP,5 998 cm3,4x4 (automat),Euro 5,Automata,Coupe,,,Da
22,BMW X6 xDrive30d AT MHEV,119000,BMW,X6,2023,500 km,Diesel,298 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
