,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Volkswagen Tiguan 1.5 TSI ACT OPF DSG Highline,24395,Volkswagen,Tiguan,2020,125 000 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,SUV,,Da,Da
1,BMW Seria 5 530e iPerformance Aut. Luxury Line,36400,BMW,Seria 5,2019,68 970 km,Hibrid,184 CP,1 998 cm3,Spate,Euro 6,Automata,Sedan,Germania,Da,Da
2,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,24990,Volkswagen,Tiguan,2017,109 600 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
3,Dacia Duster TCe 150 EDC Extreme,20498,Dacia,Duster,2022,27 480 km,Benzina,150 CP,1 332 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
4,Dacia Duster TCe 150 4WD Journey +,22015,Dacia,Duster,2023,15 107 km,Benzina,150 CP,1 332 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,Da
5,BMW Seria 1,8299,BMW,Seria 1,2012,212 000 km,Diesel,116 CP,1 995 cm3,,,Manuala,Compacta,,Da,Da
6,Nissan Qashqai,6199,Nissan,Qashqai,2007,222 000 km,Benzina,114 CP,1 598 cm3,,,Manuala,SUV,,Da,Da
7,Nissan Qashqai,7999,Nissan,Qashqai,2011,198 000 km,Diesel,103 CP,1 461 cm3,,,Manuala,SUV,,Da,Da
8,Nissan Qashqai 1.5 Visia,7499,Nissan,Qashqai,2010,200 000 km,Diesel,106 CP,1 461 cm3,,,Manuala,SUV,,Da,Da
9,Nissan Qashqai,5999,Nissan,Qashqai,2007,249 000 km,Benzina,114 CP,1 598 cm3,,,Manuala,SUV,,Da,Da
10,Porsche Cayenne Tiptronic S,66500,Porsche,Cayenne,2019,114 061 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
11,Alfa Romeo 159,3999,Alfa Romeo,159,2008,259 000 km,Diesel,150 CP,1 900 cm3,,,Automata,Combi,,,
12,Bentley Continental GT Speed,50000,Bentley,Continental,2009,145 000 km,Benzina,610 CP,5 998 cm3,4x4 (manual),,Automata,Coupe,Germania,,
13,Skoda Octavia 1.6 TDI DSG Style,11946,Skoda,Octavia,2018,199 000 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Automata,Sedan,Olanda,Da,Da
14,Audi A7 2.0 40 TDI quattro S tronic,39984,Audi,A7,2019,82 399 km,Diesel,204 CP,1 968 cm3,4x4 (automat),,Automata,Sedan,,,
15,Nissan Qashqai 1.6 DCI Start/Stop X-TRONIC Tekna,13970,Nissan,Qashqai,2016,159 307 km,Diesel,130 CP,1 598 cm3,,Euro 6,Automata,SUV,,,Da
16,Citroën C4 Picasso,6990,Citroën,C4 Picasso,2012,146 000 km,Diesel,160 CP,1 997 cm3,Fata,Euro 5,Automata,Monovolum,Germania,Da,Da
17,Volkswagen Passat Variant 1.4 TSI Plug-In-Hybrid DSG GTE,26180,Volkswagen,Passat,2021,23 319 km,Hibrid,156 CP,1 395 cm3,Fata,Euro 6,Automata,Combi,Germania,Da,Da
18,Jeep Wrangler,33950,Jeep,Wrangler,2017,59 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Romania,Da,Da
19,Toyota RAV4 2.2 D-4D 4x4,9350,Toyota,RAV4,2012,229 000 km,Diesel,150 CP,2 231 cm3,4x4 (manual),Euro 5,Manuala,SUV,Franta,,Da
20,BMW Seria 3,26990,BMW,Seria 3,2019,93 000 km,Diesel,150 CP,1 995 cm3,,Euro 6,Automata,Sedan,,,Da
21,Audi A4 2.0 TDI Avant,6399,Audi,A4,2008,247 000 km,Diesel,143 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,Da,Da
22,Volkswagen Golf 1.6 TDI Comfortline,15650,Volkswagen,Golf,2018,23 605 km,Diesel,115 CP,1 598 cm3,,,Manuala,Compacta,,,
23,Skoda Fabia 1.0 TSI Style,8498,Skoda,Fabia,2019,100 000 km,Benzina,95 CP,999 cm3,Fata,Euro 6d,Manuala,Combi,Romania,Da,
24,Jeep Compass 2.0 M-Jet 4x4 AT Limited,16800,Jeep,Compass,2018,185 000 km,Diesel,140 CP,1 956 cm3,4x4 (automat),,Automata,SUV,,,
25,Porsche Panamera 4S Diesel Sport Turismo,74999,Porsche,Panamera,2017,135 000 km,Diesel,422 CP,3 956 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,Da,
26,Porsche Panamera 4 E-Hybrid Sport Turismo,125429,Porsche,Panamera,2022,3 000 km,Hibrid,330 CP,2 894 cm3,,Euro 6,Automata,Combi,,,Da
27,Seat Leon SC 2.0 TSI Start&Stop DSG Cupra 280,15500,Seat,Leon,2014,133 783 km,Benzina,280 CP,1 984 cm3,Fata,Euro 5,Automata,Coupe,Germania,Da,Da
28,BMW Seria 5 520d xDrive Aut.,16650,BMW,Seria 5,2015,178 200 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,Da
29,Kia Sorento 2.2 CRDi 4WD Aut. Executive,9250,Kia,Sorento,2010,210 281 km,Diesel,197 CP,2 199 cm3,4x4 (manual),Euro 5,Automata,SUV,Germania,Da,Da
30,Mitsubishi ASX 1.8 DI-D 2WD Intense,10850,Mitsubishi,ASX,2015,159 628 km,Diesel,150 CP,1 798 cm3,Fata,Euro 5,Manuala,SUV,Germania,Da,Da
31,Toyota RAV4 2.2 D-4D 4WD Executive,13850,Toyota,RAV4,2014,188 721 km,Diesel,150 CP,2 231 cm3,4x4 (automat),Euro 5,Manuala,SUV,Germania,,Da
32,Volvo XC 60 D5 AWD Geartronic RDesign,26850,Volvo,XC 60,2018,265 512 km,Diesel,235 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
33,BMW Seria 5 525d Sport-Aut.,15850,BMW,Seria 5,2013,214 921 km,Diesel,218 CP,1 995 cm3,Spate,Euro 5,Automata,Sedan,Germania,Da,Da
34,Renault Espace Energy dCi 130 Intens,11690,Renault,Espace,2015,228 685 km,Diesel,130 CP,1 598 cm3,Fata,Euro 6,Manuala,Monovolum,Franta,Da,Da
35,Ford Mondeo Turnier 2.0 TDCi Ambiente,6350,Ford,Mondeo,2013,203 214 km,Diesel,136 CP,1 997 cm3,Fata,Euro 5,Manuala,Combi,,,Da
36,Volkswagen Phaeton 3.0 V6 TDI DPF 4MOTION Automatik (5 Sitzer) Edition 6,7849,Volkswagen,Phaeton,2009,268 739 km,Diesel,240 CP,2 967 cm3,4x4 (manual),Euro 5,Automata,Sedan,Germania,,Da
37,"Nissan Qashqai+2 +2 2.0 dCi DPF ""All Mode 4x4-i"" Aut Tekna",9570,Nissan,Qashqai+2,2011,182 184 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,Da
38,Volvo V40 D4 RDesign,9999,Volvo,V40,2015,193 810 km,Diesel,190 CP,1 969 cm3,Fata,Euro 5,Manuala,Compacta,,,Da
39,Mitsubishi ASX 1.8 DI-D 2WD Intense,10850,Mitsubishi,ASX,2015,162 618 km,Diesel,150 CP,1 798 cm3,,Euro 5,Manuala,SUV,Germania,Da,Da
40,Volkswagen Polo 1.2 TDI Blue Motion,5750,Volkswagen,Polo,2012,199 810 km,Diesel,75 CP,1 199 cm3,Fata,Euro 5,Manuala,Masina mica,,,Da
41,Mitsubishi ASX 1.8 DI-D 4WD Intense,9350,Mitsubishi,ASX,2012,178 537 km,Diesel,150 CP,1 798 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
42,Nissan Qashqai 1.6 DCi N-Connecta,7999,Nissan,Qashqai,2011,193 015 km,Diesel,130 CP,1 600 cm3,,Euro 5,Manuala,SUV,Germania,,Da
43,Nissan X-Trail 1.6 DCi Tekna,13350,Nissan,X-Trail,2015,178 386 km,Diesel,130 CP,1 598 cm3,Fata,Euro 5,Manuala,SUV,Germania,Da,Da
44,Suzuki Vitara 1.6 DDIS 4X4 Spirit,12850,Suzuki,Vitara,2015,177 507 km,Diesel,120 CP,1 598 cm3,Fata,Euro 6,Manuala,SUV,Germania,,Da
45,Kia Sportage 2.0 DSL HP 6AT 4x4 GT Line,18750,Kia,Sportage,2017,152 156 km,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
46,Nissan Juke 1.5L dCI Stop/Start Tekna,7999,Nissan,Juke,2013,127 919 km,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,Germania,Da,Da
47,Renault Megane ENERGY TCe 115 Start & Stop LIMITED,5950,Renault,Megane,2012,149 281 km,Benzina,115 CP,1 197 cm3,Fata,Euro 5,Manuala,Combi,,,Da
48,Seat Leon 2.0 TDI FR,9999,Seat,Leon,2014,203 311 km,Diesel,150 CP,1 968 cm3,Fata,Euro 5,Manuala,Compacta,,Da,Da
49,Volkswagen Touareg V6 TDI Atmosphere,42000,Volkswagen,Touareg,2020,68 900 km,Diesel,231 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
50,Porsche Cayenne E-Hybrid Tiptronic S Platinum Edition,89900,Porsche,Cayenne,2022,45 200 km,Hibrid,340 CP,2 995 cm3,4x4 (automat),Euro 6c,Automata,SUV,,,Da
51,BMW X6 M Competition,139900,BMW,X6 M,2023,38 000 km,Benzina,625 CP,4 395 cm3,4x4 (manual),Euro 6,Automata,SUV,Germania,Da,Da
52,BMW Seria 5 525d xDrive Aut.,18400,BMW,Seria 5,2014,220 000 km,Diesel,218 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,Sedan,,,Da
53,Dacia Logan 0.9 TCe Laureate,8746,Dacia,Logan,2019,39 000 km,Benzina,90 CP,898 cm3,Fata,Euro 6d,Manuala,Sedan,Romania,Da,Da
54,BMW X4 xDrive20d Aut. M Sport,22500,BMW,X4,2015,176 000 km,Diesel,190 CP,1 995 cm3,,,Automata,SUV,,,
55,Mercedes-Benz GLC 250 d 4MATIC,38000,Mercedes-Benz,GLC,2017,54 700 km,Diesel,204 CP,2 143 cm3,4x4 (automat),,Automata,SUV,,Da,
56,Dacia Logan MCV TCe 90 Laureate,5350,Dacia,Logan,2014,185 000 km,Benzina,90 CP,898 cm3,,,Manuala,Combi,,,
57,Skoda Superb 2.0 TDI DSG Ambition,17490,Skoda,Superb,2019,168 050 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,,,Da
58,Mercedes-Benz G,32000,Mercedes-Benz,G,1980,103 600 km,Diesel,88 CP,2 998 cm3,,,Manuala,SUV,,,
59,Alfa Romeo 159,3150,Alfa Romeo,159,2008,187 000 km,Diesel,150 CP,1 910 cm3,Fata,Euro 4,Automata,Combi,Italia,,Da
60,Ford Ranger Pick-Up 4x4,8200,Ford,Ranger,2002,240 000 km,Diesel,109 CP,2 498 cm3,4x4 (manual),,Manuala,SUV,Germania,Da,Da
61,Porsche Cayenne Coupe,108885,Porsche,Cayenne Coupe,2021,64 336 km,Hibrid,462 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
62,Audi A5 Coupe 1.8 TFSI Multitronic,15508,Audi,A5,2014,156 601 km,Benzina,170 CP,1 798 cm3,Fata,Euro 6,Automata,Coupe,,,Da
63,BMW Seria 2,18450,BMW,Seria 2,2017,95 680 km,Diesel,150 CP,1 995 cm3,4x4 (automat),,Manuala,Compacta,Romania,Da,
64,Opel Zafira 1.9 CDTI Cosmo,2800,Opel,Zafira,2008,171 626 km,Diesel,120 CP,1 910 cm3,Fata,,Manuala,Monovolum,Franta,,
65,Citroën Jumpy M BlueHDi 150,13599,Citroën,Jumpy,2017,161 543 km,Diesel,150 CP,1 997 cm3,Fata,Euro 6,Manuala,Monovolum,,,Da
66,Mitsubishi ASX 1.8 DI-D 4WD Top,7999,Mitsubishi,ASX,2011,256 398 km,Diesel,150 CP,1 798 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
67,Peugeot 3008 1.2 PureTech Turbo S&S EAT6 GT-Line,18990,Peugeot,3008,2017,143 997 km,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Automata,SUV,Franta,Da,Da
