,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Fiat Scudo,17848,Fiat,Scudo,2015,129 463 km,Diesel,128 CP,1 997 cm3,Fata,Euro 5,Manuala,Monovolum,,,
1,Opel Corsa,20961,Opel,Corsa,2022,2 km,Benzina,100 CP,1 199 cm3,,Euro 6,Automata,Masina de oras,,,Da
2,Mercedes-Benz GLE Coupe 350.e 4MATIC,85025,Mercedes-Benz,GLE Coupe,2021,22 460 km,Hibrid,211 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
3,Nissan Qashqai 1.5D 114CP 2WD N-Connecta DCT,16989,Nissan,Qashqai,2019,120 000 km,Diesel,114 CP,1 461 cm3,Fata,Euro 6d,Automata,SUV,Romania,Da,Da
4,Ford Focus,8998,Ford,Focus,2018,121 000 km,Diesel,95 CP,1 499 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
5,Toyota Corolla 1.8 HSD Dynamic,24900,Toyota,Corolla,2022,12 685 km,Hibrid,98 CP,1 798 cm3,Fata,Euro 6,Automata,Sedan,Romania,Da,Da
6,Citroën C4 Picasso 1.6 HDi FAP Exclusive,3599,Citroën,C4 Picasso,2009,177 890 km,Diesel,109 CP,1 560 cm3,Fata,Euro 4,Manuala,Monovolum,,,
7,Audi Q3 2.0 TDI quattro S tronic,15990,Audi,Q3,2016,302 000 km,Diesel,149 CP,1 968 cm3,4x4 (manual),Euro 6,Automata,SUV,,,
8,Dacia Logan,7950,Dacia,Logan,2018,112 000 km,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
9,Dacia Duster 1.6 4x2 Ambiance,7300,Dacia,Duster,2012,159 056 km,Benzina,105 CP,1 598 cm3,Fata,,Manuala,SUV,Romania,,
10,Volkswagen Tiguan 2.0 TDI Trend & Fun,10990,Volkswagen,Tiguan,2014,221 700 km,Diesel,110 CP,1 968 cm3,Fata,Euro 5,Manuala,SUV,,,
11,BMW X5 xDrive30d AT MHEV,56357,BMW,X5,2022,24 900 km,Diesel,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,Germania,,Da
12,Volkswagen Polo 1.0 TSI Trendline,9999,Volkswagen,Polo,2018,58 132 km,Benzina,65 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,,,
13,Fiat Grande Punto 1.4 Active,13000,Fiat,Grande Punto,2008,86 000 km,Benzina,77 CP,1 368 cm3,Fata,Euro 3,Manuala,Compacta,Romania,,
14,Renault Captur Energy dCi Intens,10389,Renault,Captur,2017,135 000 km,Diesel,110 CP,1 461 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
15,Hyundai Tucson 2.0 CRDI 4WD 6AT Premium+ Design Pack,21500,Hyundai,Tucson,2018,78 500 km,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
16,Renault Koleos 2.0 dCi 4X4 Privilege CVA,9999,Renault,Koleos,2012,197 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,
17,BMW X1 sDrive18d Aut. M Sport,26999,BMW,X1,2021,41 000 km,Diesel,150 CP,1 995 cm3,,,Automata,SUV,Germania,,Da
18,Volvo S90 D5 AWD Geartronic Inscription,36999,Volvo,S90,2017,36 627 km,Diesel,235 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,Da
19,Toyota Aygo X 1.0l CVT Exclusive,17398,Toyota,Aygo,2022,1 985 km,Benzina,72 CP,998 cm3,Fata,Euro 6,Automata,Masina mica,Romania,Da,
20,Mercedes-Benz AMG GT-S 43 4MATIC+ MHEV,117499,Mercedes-Benz,AMG GT-S,2023,13 200 km,Benzina,367 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,Da,Da
21,Toyota RAV4 2.5 VVT-i HSD 4x4 Executive,22989,Toyota,RAV4,2018,116 000 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
22,BMW Seria 3,1300,BMW,Seria 3,2004,280 000 km,Diesel,150 CP,1 995 cm3,,,Manuala,Sedan,,,
