,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Volkswagen ID.4 77 kWh GTX,42999,Volkswagen,ID.4,2022,21 000 km,Electric,299 CP,,4x4 (automat),,Automata,SUV,,,
1,Skoda Octavia,15900,Skoda,Octavia,2018,120 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Automata,Sedan,Romania,Da,
2,Dacia Logan,9200,Dacia,Logan,2020,65 000 km,Benzina,90 CP,999 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,
3,Ford Raptor,43300,Ford,Raptor,2019,34 349 km,Diesel,213 CP,1 996 cm3,4x4 (manual),Euro 6,Automata,SUV,Romania,Da,Da
4,Mercedes-Benz E,47999,Mercedes-Benz,E,2017,165 000 km,Diesel,194 CP,1 950 cm3,4x4 (automat),Euro 6b,Automata,Sedan,,,Da
5,Mercedes-Benz GLC,35899,Mercedes-Benz,GLC,2019,80 000 km,Diesel,164 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
6,Mercedes-Benz GLB 200 d 4MATIC Aut.,54856,Mercedes-Benz,GLB,2022,10 km,Diesel,150 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
7,BMW X3,14750,BMW,X3,2014,196 243 km,Diesel,184 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,Da
8,Honda Civic Sedan 1.5 VTEC Turbo Elegance Navi,20500,Honda,Civic,2019,46 500 km,Benzina,182 CP,1 498 cm3,Fata,Euro 6,Manuala,Sedan,Romania,,Da
9,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,29500,Volkswagen,Tiguan,2019,81 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
10,Mercedes-Benz A,35022,Mercedes-Benz,A,2021,33 000 km,Diesel,116 CP,1 950 cm3,Fata,,Automata,Compacta,,,
11,Mercedes-Benz GLA 220 d 4Matic 8G-DCT AMG Line,63749,Mercedes-Benz,GLA,2023,2 km,Diesel,190 CP,1 950 cm3,4x4 (manual),,Automata,SUV,,,Da
12,Jaguar F-Pace 20d AWD Prestige,37900,Jaguar,F-Pace,2019,142 500 km,Diesel,180 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
13,Volkswagen Transporter,15850,Volkswagen,Transporter,2016,170 004 km,Diesel,180 CP,1 968 cm3,4x4 (automat),Non-euro,Automata,Monovolum,Danemarca,,Da
14,BMW X5 xDrive30d,72000,BMW,X5,2019,26 000 km,Diesel,265 CP,2 993 cm3,4x4 (automat),,Automata,SUV,Germania,Da,Da
