,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Ford Kuga 2.0 TDCi 4x4 Aut. Individual,10500,Ford,Kuga,2015,214 547 km,Diesel,140 CP,1 997 cm3,4x4 (manual),,Automata,SUV,,,
1,Audi Q3 2.0 40 TFSI S tronic quattro S Line,28600,Audi,Q3,2021,36 000 km,Benzina,190 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
2,Toyota Hilux 4x4 Cabina Dubla Comfort,15900,Toyota,Hilux,2014,270 000 km,Diesel,144 CP,2 494 cm3,,Euro 5,Manuala,SUV,,,
3,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
4,BMW Seria 4 430d AT M Sport,30800,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
5,BMW Seria 3 320d Touring Aut.,10300,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
6,Skoda Octavia 1.6 TDI Elegance,5900,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7,Chevrolet Corvette,36999,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
8,Skoda Octavia 1.9 TDI Business DSG,5600,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
9,Dacia Logan MCV 1.0 SCe Ambiance,6500,Dacia,Logan,2018,133 000 km,Benzina,73 CP,998 cm3,Fata,,Manuala,Sedan,,,
10,Dodge RAM,34750,Dodge,RAM,2016,116 587 km,Diesel,245 CP,2 987 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
11,BMW X5 xDrive40d,31000,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
12,Audi A5,22390,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
13,Mitsubishi Colt 1.1 ClearTec Edition,2800,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
14,Jaguar XE 2.0 Prestige,8950,Jaguar,XE,2016,240 000 km,Diesel,163 CP,1 999 cm3,,,Manuala,Sedan,,,Da
15,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
16,BMW Seria 3 320d Aut. xDrive Advantage,19900,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
17,Skoda Octavia,7450,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
18,Kia Ceed Cee'd 1.4 GSL CITY,4321,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
19,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
20,Ford Kuga 2.0 TDCi 4x4 Aut. Individual,10500,Ford,Kuga,2015,214 547 km,Diesel,140 CP,1 997 cm3,4x4 (manual),,Automata,SUV,,,
21,Toyota Hilux 4x4 Cabina Dubla Comfort,15900,Toyota,Hilux,2014,270 000 km,Diesel,144 CP,2 494 cm3,,Euro 5,Manuala,SUV,,,
