,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Hyundai i20 1.2 5 Star Edition,7490,Hyundai,i20,2014,97 000 km,Benzina,86 CP,1 248 cm3,Fata,Euro 5b,Manuala,Compacta,Belgia,Da,
1,Mercedes-Benz GLE 450 d 4MATIC,120692,Mercedes-Benz,GLE,2023,1 km,Diesel,367 CP,2 989 cm3,4x4 (automat),,Automata,SUV,,,Da
2,Jaguar XF 2.7 V6 Diesel Premium Luxury,5950,Jaguar,XF,2009,228 000 km,Diesel,207 CP,2 720 cm3,Spate,Euro 4,Automata,Sedan,Germania,,Da
3,BMW Seria 3 320d Aut.,15990,BMW,Seria 3,2016,190 000 km,Diesel,190 CP,1 995 cm3,Spate,,Automata,Sedan,,,
4,Audi A4 Avant 2.0 40 TDI S tronic Advanced,16750,Audi,A4,2018,188 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6d,Automata,Combi,Italia,Da,Da
5,Volkswagen Golf 1.6 TDI Comfortline,13988,Volkswagen,Golf,2018,128 580 km,Diesel,115 CP,1 598 cm3,Fata,,Manuala,Compacta,,,
6,Skoda Octavia 1.6 TDI DPF Elegance,7950,Skoda,Octavia,2011,234 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,,,Da
7,Volvo V90,64317,Volvo,V90,2023,50 km,Hibrid,211 CP,1 969 cm3,4x4 (automat),Euro 6d,Automata,Combi,Suedia,,Da
8,Audi A6 2.0 TDI DPF Avant,3400,Audi,A6,2008,252 350 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
9,Fiat 500,13248,Fiat,500,2022,1 km,Hibrid,70 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,,,Da
10,Mazda 6,12500,Mazda,6,2013,142 000 km,Diesel,175 CP,2 191 cm3,Fata,Euro 6,Automata,Sedan,Germania,,
11,Honda CR-V 2.0 Hybrid i-MMD 2WD E-CVT Elegance,37290,Honda,CR-V,2023,10 000 km,Hibrid,145 CP,1 993 cm3,Fata,,Automata,SUV,,,Da
12,Mercedes-Benz E,29738,Mercedes-Benz,E,2019,160 464 km,Diesel,160 CP,1 597 cm3,,Euro 6,Automata,Sedan,,Da,Da
13,Mercedes-Benz C 300 e 4MATIC,78254,Mercedes-Benz,C,2023,6 000 km,Hibrid,204 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
14,BMW X6 M Competition MHEV,153900,BMW,X6 M,2023,3 000 km,Benzina,625 CP,4 395 cm3,4x4 (automat),Euro 6d,Automata,SUV,,Da,Da
15,Audi A6 2.0 TDI DPF Avant,3400,Audi,A6,2008,252 350 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
16,Mazda 6,12500,Mazda,6,2013,142 000 km,Diesel,175 CP,2 191 cm3,Fata,Euro 6,Automata,Sedan,Germania,,
17,Skoda Octavia 1.5 TSI Ambition,17899,Skoda,Octavia,2019,30 791 km,Benzina,150 CP,1 495 cm3,,Euro 6,Manuala,Sedan,Romania,,
18,Hyundai Tucson,29988,Hyundai,Tucson,2019,102 715 km,Hibrid,180 CP,1 598 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
19,Dacia Duster 1.5 Blue dCi 4WD Comfort,16990,Dacia,Duster,2021,56 851 km,Diesel,115 CP,1 461 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
20,Audi A8 50 TDI quattro tiptronic,52000,Audi,A8,2018,140 000 km,Diesel,286 CP,2 967 cm3,,Euro 6,Automata,Sedan,Germania,Da,Da
21,Mercedes-Benz S 400 d 4MATIC Long Aut,59990,Mercedes-Benz,S,2018,161 323 km,Diesel,340 CP,2 925 cm3,4x4 (manual),,Automata,Sedan,Germania,,Da
22,BMW X5 xDrive40i,63010,BMW,X5,2020,71 000 km,Benzina,340 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
23,Mercedes-Benz CLS Shooting Brake 350 CDI 4Matic 7G-TRONIC Edition 1,15999,Mercedes-Benz,CLS,2012,230 000 km,Diesel,265 CP,2 987 cm3,Spate,Euro 5,Automata,Sedan,Romania,,
24,Opel Astra,25300,Opel,Astra,2022,3 800 km,Diesel,130 CP,1 498 cm3,,,Manuala,Compacta,,,
25,Nissan Pathfinder 3.0 dCi V6 All Mode 4X4 LE Aut.,15827,Nissan,Pathfinder,2011,211 704 km,Diesel,231 CP,2 993 cm3,4x4 (automat),Euro 5,Automata,SUV,Belgia,,Da
26,Audi RS Q3 RSQ3 2.5 TFSI quattro S tronic,76900,Audi,RS Q3,2023,12 km,Benzina,400 CP,2 480 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
27,Mazda 6 2.0i Revolution,16950,Mazda,6,2016,101 500 km,Benzina,165 CP,1 998 cm3,Fata,,Manuala,Combi,,Da,
28,Mini Countryman John Cooper Works All4 Aut.,35500,Mini,Countryman,2019,48 712 km,Benzina,306 CP,1 998 cm3,4x4 (automat),,Automata,Compacta,,,
29,Mercedes-Benz E 200 d Aut.,34899,Mercedes-Benz,E,2019,28 000 km,Diesel,160 CP,1 597 cm3,Spate,Euro 6,Automata,Sedan,Romania,Da,Da
30,Mercedes-Benz GLE 350 de 4MATIC,78302,Mercedes-Benz,GLE,2021,26 690 km,Hibrid,194 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
31,Skoda RAPID Spaceback 1.6 TDI Style,10690,Skoda,RAPID,2017,196 316 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Manuala,Compacta,Belgia,,
32,BMW X1,13250,BMW,X1,2014,154 255 km,Diesel,143 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,Da
