,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
1,Renault Megane,2750,Renault,Megane,2008,233 000 km,Diesel,110 CP,1 461 cm3,Fata,,Manuala,Combi,Germania,Da,Da
2,Nissan Note,3600,Nissan,Note,2006,150 000 km,Diesel,90 CP,1 495 cm3,,,Manuala,Compacta,Franta,Da,
3,Mercedes-Benz A 200 CDI 7G-DCT Style,11900,Mercedes-Benz,A,2015,158 305 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Compacta,,,Da
4,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
5,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
6,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
7,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
8,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
9,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
10,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
11,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
12,Citroën C-Elysée 1.2 PureTech BVM Feel,8532,Citroën,C-Elysée,2019,116 700 km,Benzina,82 CP,1 199 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
13,Volkswagen Passat,4990,Volkswagen,Passat,2006,302 000 km,Diesel,140 CP,1 968 cm3,,,Automata,Combi,,,
14,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
15,Chevrolet Cruze 1.7 LT,4990,Chevrolet,Cruze,2012,201 000 km,Diesel,130 CP,1 686 cm3,Fata,Euro 5,Manuala,Combi,Italia,,Da
