,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Suzuki Ignis,12078,Suzuki,Ignis,2019,58 600 km,Benzina,90 CP,1 242 cm3,Fata,,Manuala,Masina de oras,,Da,Da
1,Honda Civic 2.0 e:HEV E-CVT Sport,36440,Honda,Civic,2023,1 km,Hibrid,184 CP,1 993 cm3,Fata,Euro 6d-Temp,Automata,Compacta,Japonia,Da,Da
2,Volkswagen Golf 1.6 TDI Trendline,8806,Volkswagen,Golf,2017,223 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,,Da,Da
3,Mercedes-Benz EQS,151583,Mercedes-Benz,EQS,2022,36 km,Electric,360 CP,,4x4 (automat),Euro 6,Automata,Sedan,,,
4,Porsche Cayenne Tiptronic S,61900,Porsche,Cayenne,2018,65 414 km,Benzina,340 CP,2 995 cm3,4x4 (automat),,Automata,SUV,Cehia,,
5,Volkswagen Beetle,3990,Volkswagen,Beetle,2006,137 000 km,Diesel,105 CP,1 896 cm3,Fata,,Manuala,Coupe,,,
6,BMW X1 xDrive18d Aut. Sport Line,10500,BMW,X1,2013,246 000 km,Diesel,143 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,SUV,Romania,,Da
7,Skoda Octavia 1.5 TSI Ambition,15800,Skoda,Octavia,2018,68 426 km,Benzina,150 CP,1 495 cm3,Fata,,Manuala,Sedan,,,
8,Toyota Avensis 2.0 D-4D,6999,Toyota,Avensis,2011,220 602 km,Diesel,126 CP,1 998 cm3,Fata,Euro 5,Manuala,Sedan,,,
9,Volkswagen Golf,7000,Volkswagen,Golf,2014,312 344 km,Diesel,105 CP,1 598 cm3,Fata,Euro 6,Automata,Combi,,,Da
10,Mercedes-Benz GLC Coupe 200 4Matic 9G-TRONIC Exclusive,49900,Mercedes-Benz,GLC Coupe,2021,32 000 km,Benzina,197 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11,Fiat Doblo,2500,Fiat,Doblo,2008,216 000 km,Diesel,85 CP,1 248 cm3,Fata,,Manuala,Monovolum,,,
12,Toyota Prius (Hybrid) Comfort,6800,Toyota,Prius,2011,170 000 km,Hibrid,99 CP,1 798 cm3,Fata,,Automata,Compacta,,,
13,Renault Fluence 1.5 dCi Authentique,6250,Renault,Fluence,2014,198 700 km,Diesel,95 CP,1 461 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
14,Renault Laguna,6200,Renault,Laguna,2013,222 000 km,Diesel,150 CP,1 995 cm3,Fata,,Manuala,Combi,Franta,,Da
15,Mercedes-Benz C 220 (BlueTEC) d T 7G-TRONIC,22500,Mercedes-Benz,C,2015,205 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 6,Automata,Sedan,Franta,Da,Da
16,Volkswagen Tiguan 2.0 TDI DPF,17990,Volkswagen,Tiguan,2017,220 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,SUV,Franta,Da,Da
17,Peugeot 308 1.6 BlueHDi FAP STT EAT6,11990,Peugeot,308,2019,184 000 km,Diesel,120 CP,1 560 cm3,Fata,Euro 6,Automata,Combi,Franta,Da,Da
18,Toyota Prius,7600,Toyota,Prius,2011,168 000 km,Hibrid,136 CP,1 800 cm3,,,Automata,Masina de oras,,,
19,Peugeot 3008 BlueHDi 120 EAT6 Stop & Start,16990,Peugeot,3008,2017,173 000 km,Diesel,120 CP,1 560 cm3,Fata,Euro 6,Automata,SUV,Franta,Da,Da
20,Renault Grand Scenic,13000,Renault,Grand Scenic,2017,197 180 km,Diesel,110 CP,1 461 cm3,,,Automata,Monovolum,,,
21,Volkswagen Golf 1.6 TDI DSG Comfortline,12489,Volkswagen,Golf,2019,128 731 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Automata,Combi,,Da,Da
22,Volkswagen Beetle The 2.0 TDI DPF iBeetle Design,10490,Volkswagen,Beetle,2012,107 153 km,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Manuala,Compacta,Germania,,Da
23,Renault Megane dCi 110 FAP LIMITED,6950,Renault,Megane,2016,247 546 km,Diesel,110 CP,1 461 cm3,Fata,Euro 6,Manuala,Combi,,,
24,Renault Koleos Blue dCi X-Tronic 4WD Initiale Paris,33799,Renault,Koleos,2021,46 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,
25,Ford Kuga 2.0 TDCi 4WD Powershift Titanium,15900,Ford,Kuga,2017,126 000 km,Diesel,150 CP,1 997 cm3,,,Automata,SUV,,,
26,Bentley Bentayga,101150,Bentley,Bentayga,2017,133 000 km,Benzina,608 CP,5 990 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
27,Mercedes-Benz E 220 d 4Matic 9G-TRONIC AMG Line,34990,Mercedes-Benz,E,2019,152 000 km,Diesel,194 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,Sedan,Franta,Da,Da
28,Audi A4 Avant 2.0 TDI S tronic sport,17990,Audi,A4,2020,191 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Germania,Da,Da
29,Kia Sportage 2.0 DSL 8AT HP 4x4 GT Line,25990,Kia,Sportage,2020,113 000 km,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
30,BMW X1 xDrive23d Aut.,9990,BMW,X1,2010,330 000 km,Diesel,204 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
31,Volkswagen Passat 2.0 TDI DSG 4Motion Highline,19900,Volkswagen,Passat,2017,180 000 km,Diesel,240 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,,
32,Audi S3 2.0 TFSI quattro Stronic,23999,Audi,S3,2016,115 000 km,Benzina,300 CP,1 984 cm3,,,Automata,Sedan,,,
33,Mercedes-Benz Sprinter 411 CDI 904.623,7990,Mercedes-Benz,Sprinter,2003,216 680 km,Diesel,109 CP,2 148 cm3,Spate,Euro 3,Manuala,Monovolum,Germania,Da,Da
34,Volkswagen Caddy 1.6 TDI (7-Si.) BMT Maxi Roncalli,10290,Volkswagen,Caddy,2013,239 000 km,Diesel,102 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
35,BMW X5 xDrive40e iPerformance,33915,BMW,X5,2016,123 787 km,Hibrid,245 CP,1 997 cm3,4x4 (automat),,Automata,SUV,,,
36,Mercedes-Benz GLB 200 d 4MATIC Aut.,40900,Mercedes-Benz,GLB,2022,17 938 km,Diesel,150 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
37,Volkswagen Passat 2.0 TDI DSG 4Motion Highline,19900,Volkswagen,Passat,2017,180 000 km,Diesel,240 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,,
38,Skoda Octavia Combi 1.6 TDI Ambition,10490,Skoda,Octavia,2018,237 900 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Austria,,
39,Volvo XC 40,21999,Volvo,XC 40,2019,181 117 km,Diesel,150 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
40,Volkswagen Caddy 1.6 TDI (7-Si.) BMT Maxi Roncalli,10290,Volkswagen,Caddy,2013,239 000 km,Diesel,102 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
41,Audi A8 3.0 TDI DPF clean diesel quattro tiptronic,17800,Audi,A8,2012,257 400 km,Diesel,250 CP,2 967 cm3,4x4 (manual),,Automata,Sedan,,,
42,Mitsubishi ASX,7890,Mitsubishi,ASX,2011,120 000 km,Benzina,115 CP,1 590 cm3,Fata,Euro 4,Manuala,Compacta,,,Da
43,Skoda RAPID 1.4 TDI Active,9250,Skoda,RAPID,2018,147 000 km,Diesel,90 CP,1 422 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
44,Dacia Duster 1.5 Blue dCi 4WD Comfort,14500,Dacia,Duster,2019,93 640 km,Diesel,115 CP,1 461 cm3,4x4 (automat),,Manuala,SUV,,,
45,Volkswagen Golf,14690,Volkswagen,Golf,2018,39 826 km,Benzina,110 CP,999 cm3,Fata,,Manuala,Compacta,,,
46,Volkswagen Golf 1.6 TDI Comfortline,12750,Volkswagen,Golf,2019,128 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Romania,Da,Da
47,Lexus Seria RX 450h Aut. Luxury (trapa panoramica),39999,Lexus,Seria RX,2016,117 000 km,Hibrid,262 CP,3 456 cm3,Fata,Euro 6,Automata,SUV,Romania,,Da
48,Peugeot Partner Tepee HDi 75 Esplanade,4950,Peugeot,Partner,2012,145 134 km,Diesel,75 CP,1 560 cm3,Fata,Euro 5,Manuala,Monovolum,,,
49,Ford Mondeo 2.0TDCi Ghia,1300,Ford,Mondeo,2005,310 000 km,Diesel,130 CP,1 998 cm3,Fata,,Manuala,Sedan,Austria,,
50,Land Rover Defender,80000,Land Rover,Defender,2022,15 186 km,Hibrid,300 CP,2 997 cm3,4x4 (automat),,Automata,SUV,,,
51,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,22990,Volkswagen,Tiguan,2016,161 810 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Franta,,Da
52,Mercedes-Benz GLE 400 d 4MATIC,67900,Mercedes-Benz,GLE,2019,68 176 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
53,Nissan Navara 2.5 dCi King Cab XE,9999,Nissan,Navara,2010,249 000 km,Diesel,171 CP,2 488 cm3,4x4 (manual),Euro 4,Manuala,SUV,Suedia,Da,Da
54,Alfa Romeo Tonale 1.5 VGT Hybrid,41550,Alfa Romeo,Tonale,2022,1 km,Hibrid,160 CP,1 469 cm3,Fata,Euro 6,Automata,SUV,,,Da
